product_title,rating(),rating_count,selling_price,MRP,dicountvalue,discount
"Crompton Energion Cromair Plus 5 Star 1200mm 3 Blade BLDC Motor Ceiling Fan (Inverter Technology, Satin Sand ",5,3,4499,7249,2750,38% Off
"Croma ECO 1200mm 3 Blade Copper Motor Ceiling Fan (Inverter Technology, Brown ",2.8,11,1699,2600,901,35% Off
"PORTRONICS Toofan 60mm 3 Blade BLDC Motor Mini Rechargeable Fan with 2000 mAh Battery (Low Noise Desk Fan, White ",2.6,7,799,1999,1200,60% Off
"atomberg Renesa Plus 5 Star 1200mm 3 Blade BLDC Motor Ceiling Fan with Remote (LED Indicator, Pearl White ",2,3,4299,6230,1931,31% Off
"HAVELLS Stealth Air 5 Star 1200mm 3 Blade BLDC Motor Ceiling Fan with Remote (Inverter Technology, Metallic Black ",1,2,9189,12050,2861,24% Off
"atomberg Renesa Smart+ 5 Star 1200mm 3 Blade BLDC Motor Smart Ceiling Fan with Remote (Alexa & Google Assistant, Pearl White ",3.7,3,4747,8440,3693,44% Off
"Symphony Surround Bladeless 25 ft Air Throw 650 m3/hr Air Delivery Tower Fan (Powerful Air Throw, Dark Grey ",4.4,5,6199,6999,800,11% Off
"Russell Hobbs RTF4800 Bladeless 13800 m3/hr Air Delivery Tower Fan with Remote (Superior Quality, Black ",4.2,5,8589,10995,2406,22% Off
"atomberg Studio 6 Inch 150mm Exhaust Fan with BLDC Motor (Double Ball Bearings, Umber Brown ",2,1,1649,3200,1551,48% Off
"Crompton Surebreeze Super Briz Deco 1 Star 1200mm 3 Blade Copper Motor Ceiling Fan (Rust Proof, Smoked Brown ",1,1,2129,3139,1010,32% Off
"Crompton Torpedo 400mm 3 Blade Thermal Overload Protector Pedestal Fan (Anti Rust, Black ",2.8,4,3199,4060,861,21% Off
"BAJAJ Euro Prime 1 Star 1200mm 3 Blade Anti Bacterial Ceiling Fan (Dual Tone Trims, Brown & Bronze ",5,2,4000,7280,3280,45% Off
"Crompton Energion Hyperjet 5 Star 1200mm 3 Blade BLDC Motor Ceiling Fan with Remote (Anti rust, Brown ",3.4,5,2449,4849,2400,49% Off
